Frase,Groundtruth,Predicción
" Pour nous, ce n’est pas dans la bonne direction que 24000 femmes ont perdu leur emploi au cours de la dernière année ou que le dernier jour de mai 161 mille membres de la Sécurité sociale sont allés à la rue.",1,1
" Con lo cual mi oposición es una oposición, una oposición compartida con todos mis compañeros y va a ser firme, contundente y constructiva.",0,0
" With regard to our proposal, our position, rather in the European Union.",0,0
" La symétrie en termes de situation épidémiologique, comme vous l’avez souligné, est très diversifiée et les destinations qui sont inférieures à sept dans l’incidence et d’autres qui dépassent 100, par exemple.",1,1
 Hay que hay que hay que reconocerlo de por vida.,0,0
" Selon les dernières données de l’Organisation mondiale de la santé, elles ont triplé ces dernières semaines.",1,1
" Han concedido estos privilegios de una manera tan salvaje, tan contrario al sentido común y a lo que se aplica en el resto de los casos, que, lógicamente la decisión de fondo, en mi opinión, no podía ser otra.",1,1
 This afternoon the kings of Spain will preside over a funeral in memory of the 40000 victims by the Kobi 19 by the coronavirus for this terrible pandemic.,1,1
" Fondamentalement, le droit au logement de certains l’emporte sur le droit au logement d’autres personnes.",0,0
" La législation ordinaire dit ce que dit la loi de 2011 sur la santé publique ou la loi sur la cohésion et la qualité stipule qu’elle est la plus haute autorité sanitaire et qu’elle peut prendre des mesures pour tous ceux qui vont dans la défense de la santé publique des citoyens, puis les amendements à une loi organique comme la loi sur les mesures spéciales.",1,1
" Efectivamente un poco extraña, porque en el mejor de los casos tenían la votación por un voto.",0,1
 It's called a figurative leaf.,0,0
" Y ahora lo que vemos es que ante una crisis tan tremenda como la que estamos viviendo comunidades de distinto signo político por Cataluña, también ahí está el País Vasco.",0,0
" The minister returns with us a little bit to see in four or five years when we already have those health safety badges in all tourist destinations, when we really recover that normality completely and return to the holiday with some normality in the 22-M.",1,1
" Si hacemos un cómputo total de esta supuesta mente parada hemorragia, tenemos que en el último año casi un millón de españoles han dejado de cotizar a la Seguridad Social 990 000.",1,1
 Se hicieron 63,1,1
Pedro Sánchez lui-même est en vacances dans une ferme qu’un autre roi saoudien a donnée à Juan Carlos.,1,1
 Es igual que cuando uno va a un banco también le ponen unas condiciones.,0,0
 Pura carambola in the Ministry of Health and has had to deal with the most complicated situation this country has ever experienced.,1,1
 Los cuidados no reconocidos en el Estado español implican 28 millones de empleos a jornada completa 28 millones.,1,1
" Suspension des procédures d’expulsion et lancements, moratoires et suppressions jusqu’à 50 pour cent du loyer des grands exploitants.",0,1
" Nous avons pris au Congrès, nous avons proposé une mesure similaire, qui a également été étendue à tous les groupes à tous les groupes qui pour avoir un emploi essentiel au cours de cette pandémie",1,1
 Et maintenant peut-être en échange du fonds non remboursable que la Communauté de Madrid a donné à Cata et remercie pratiquement la Commission de reconstruction avec le PSOE de Sánchez.,1,1
" Of course the Government of Spain, but also from all the autonomous communities and the private sector is that we have protocols.",1,1
" Así que os recomiendo y así dejó hecha la presentación, que os quedéis en la siguiente mesa.",0,0
 The first must be remembered in 11 years as foreign minister to La Roca.,1,1
 Las reservas se están recuperando de forma gradual.,1,1
 Nous nous entraînons du Centre de formation spéciale espagnole de la Garde civile aux entreprises de la gendarmerie conjointe des pays du G-5 Sahel et du Sénégal et participons à de multiples initiatives qui collaborent au développement au Sahel.,1,1
" Et puis il y aura un autre chapitre, qui est celui des responsabilités politiques et je m’adresse à Pedro Sánchez.",0,0
 Borja Mikkel is very concerned about San Sebastian.,0,0
". L’Union européenne, l’agenda social, l’agenda économique et l’agenda sanitaire",0,0
 Un million et demi d’entre eux ont bénéficié d’un,1,1
" Eh bien, avec toutes ces idées, avec cela, nous allons dire crise de santé.",0,0
 En España esto equivale a 700000 pymes.,1,1
" I believe that Sanchez does not understand, understands nothing and has also expressed a personal gesture sometimes politicians, that we are always people we are measured by personal gestures are seen, there is sensitivity or not in things like this.",0,0
 C’est une usine stratégique.,0,0
", El lunes mandé una carta al al presidente Sánchez una carta que todavía no ha recibido respuesta.",0,0
 Han sido validados para los medios públicos por la Junta Electoral Central y la duración de las entrevistas es proporcional al apoyo que recibieron estas marcas electorales en 2016.,1,1
" Mais en ce qui concerne spécifiquement ce que le groupe de travail qui a discuté au sujet de l’éducation, ce qui est inclus, il ya un financement unique et exclusivement pour l’éducation du public.",0,1
 Il y a actuellement 73 foyers actifs dans notre pays,1,1
 No podemos quedarnos quietos esperando a que nos den la confianza.,0,0
" Il y a tout juste un an, se souvenant qu’Albert Rivera a joué son rôle dans un gouvernement du PSOE avec les Citoyens.",0,1
" Este equilibrio, que a veces se nos nos despista, no se nos olvida, es uno de los mensajes que repetimos una y otra vez.",0,0
" For example, in Andalusia there was a 70 to 80 percent of occupancy in hotel reservations or indoor accommodation in the interior of Andalusia.",1,1
 Avec cette longue conversation qu’il a apparemment eue avec Pablo Iglesias avec cette lettre.,0,0
" En mai, plus de 9 000 personnes ont quitté les listes de chômage.",1,1
" No, pero yo creo que no, que no tiene por qué generar ningún tipo de problema en todo el resto del recorrido del Ebro, que es bien amplio y bien y bien interesante y variado.",0,0
" As you know this Monday, the one-month deadline for submitting all applications in the special subsidy, which is historic in our country and which I ask us to take care of, is over.",1,1
 So we'll have to see where he is or where we have to go to those levels of protection that there is going to be there.,0,0
 You are also Basque when you are a constitutionalist.,0,0
" Well, first of all, let me, you will understand it on a day as today I remember the victims for the pandemic, all the victims, because from the People's Party we remember absolutely all of them, they will show our memory.",0,0
 Les Espagnols et les Espagnols continuent de se rendre en France par exemple à l’occasion de la récolte de nombreuses provinces d’Andalousie et d’Estrémadure.,1,1
" Dans le cas de Navarra Suma, nous avons réussi à gagner les élections et le pacte de María Civit avec le PNV et avec la marque blanche du PNV et surtout avec ceux avec les héritiers de l’ETA, a permis au Parti socialiste au gouvernement de Navarre et de ne pas le faire par les constitutionnalistes de Navarre.",1,1
 Innocent.,0,0
" Cuando hablamos del marco sanitario y de los distintos programas que se tienen que se han ido estableciendo para empezar dentro del consejo de expertos desde el punto de vista científico España quedó fuera de ese consejo, de esa comisión que se creó a nivel a nivel europeo.",1,1
 Ayer nos hemos dado la noticia 22 su muertos en Cataluña en las últimas 24 horas según han notificado los servicios funerarios decenas de personas en una situación de gravedad en un Cisen en hospitales catalanes.,1,1
 Menuda pitada.,0,0
" Parce que dis-le’est un phénomène que nous connaissons bien, un phénomène structurel qui a maintenant une composante conjoncturale comme Koby.",0,0
" Como bien sabéis hay dos tipos de controles un control primario y si se detecta alguna anomalía va a pensar que efectivamente esa persona no se encuentra en una buena situación sanitaria, que pasa a un segundo control ya con personal médico y que puede derivar incluso en que se le haga este cierre que, como bien señala, demanda la Comunidad de Madrid.",1,0
" Les employeurs sont généralement limités à un contrat de travail et à une demande de paiement d’un salaire, mais pas à la question des mesures d’adaptation.",0,1
 La mesure adoptée par le ministère des Finances?,0,0
 This midnight concludes the deadline for calling early elections in Catalonia on 4 October.,1,1
" Darle otra vuelta de tuerca para que los jóvenes, pero también las empresas del entorno digital, puedan atraer talento de fuera a unos costes fiscales competitivos con aquellos núcleos.",0,0
" Ministro Cergio También muchas críticas, pero entiendo que el balance final es positivo y la prueba es que se le ha llamado a las campañas electorales del Partido Socialista tanto en Euskadi como en Galicia y en Galicia.",1,1
 Pero sí ayer hicimos la comprobación y ni República Dominicana ni Nueva Zelanda que mencionaba a veces tienen suscrito tratado de extradición con Suiza.,1,1
" Por cierto, un fondo que ya de partida deja a 3000 ayuntamientos fuera de esa ayuda, porque son ayuntamientos que tienen déficit o deuda.",1,1
" De hecho, los resultados del CIS que conocimos ayer eran kedamos que el Partido Socialista o el gobierno de coalición mejor dicho, les saca, le saca al Partido Popular 13 puntos de diferencia.",1,1
" Par conséquent, il est normal qu’il y ait de telles divergences et différences.",0,0
 Je pense que c’est la mauvaise décision pour Nissan.,0,0
" But we'll know someday when there's a vaccine, maybe.",0,0
" Sobre todo este asunto vamos a hablar también después de ello y en el Partido Popular, el portavoz en el Senado Javier Maroto acusa a Pedro Sánchez al presidente del Gobierno de defender la monarquía con la boca pequeña.",0,0
" When the town halls were on the brink of bankruptcy, two plans were initiated to pay suppliers to give liquidity to the City Council to the municipalities, to save all the companies that worked for the municipalities and with the government of Sánchez.",1,1
 C’est compliqué et cela doit être reconnu.,0,0
" Mais comme le gouvernement le dit à juste titre, le Parti socialiste de coalition Podemos a empêché M. Iglesias de donner les explications pertinentes au Congrès des députés.",0,0
 We are talking to Pablo Montesinos Deputy Secretary of Communication of the PP.,0,0
 They are the only road users who perseverely every year have the most victims.,1,1
 Hay dos o tres asuntos sobre los que le quiero preguntar.,0,0
 It's about presenting an alternative to the Spaniards and I sincerely think we're doing it.,0,0
 Conversations obviously begin and go on.,0,0
" They also began to cut public health, public education, threatened reforms that then crystallized pension reforms, bank bailouts.",1,1
 El futuro es si estamos todos un poco temblando.,0,0
 Each of the different regions has been presenting the European Commission.,1,1
 Por qué no se apoya el documento de política económica?,0,0
" Les quatre ou quatre autres affaires que vous avez déjà mentionnées dans l’affaire Diná, le financement illégal, les financements surdimensionnés, le paiement de commissions pour l’achat du siège de Podemos, l’enquête de la Cour des comptes.",1,1
 La plupart des éclosions sont contrôlées.,1,1
 Es absolutamente imposible.,0,0
 Il n’existe actuellement aucune donnée sur les routes où le plus grand nombre de motocyclistes meurent.,1,1
" Como bien sabéis hay dos tipos de controles un control primario y si se detecta alguna anomalía va a pensar que efectivamente esa persona no se encuentra en una buena situación sanitaria, que pasa a un segundo control ya con personal médico y que puede derivar incluso en que se le haga este cierre que, como bien señala, demanda la Comunidad de Madrid.",1,0
. La meilleure chose que je puisse.,0,0
 Es decir aquí no hay más autoridad sanitaria en España con independencia de la gestión que lleven adelante en materia de salud pública con las competencias que tiene las comunidades y por lo tanto lo que hemos pedido es aplicación de legislación ordinaria y que si no es suficiente que se amplíe.,1,1
 En este caso el impuesto digital que ya ha seguido sigue su curso en el Congreso de los Diputados.,1,1
 En los meses de verano del año pasado fallecieron 69 motoristas y cuatro de ellos no usaban casco.,1,1
 January February and March there was no income,1,1
 Ce départ est l’une des régions les plus dévastées socialement de l’Espagne et avec un taux de chômage,1,1
" D’autres sont venus avec les questions et les réponses écrites avant que nous écoutions, parce que nous avons travaillé jusqu’à la fin, jusqu’à la fin.",0,0
" También acabamos de sacar la convocatoria de recursos humanos para los científicos más brillantes y claro, siempre se queda mucha gente fuera y ahí hay que trabajar muchísimo.",0,0
" Como digo llevamos desde el 15 de junio testando los protocolos tanto en el ámbito de la movilidad en los aeropuertos en particular, pero también los puertos y el transporte colectivo, y luego también en los destinos.",1,1
 El 2018 creamos la red de destinos turísticos inteligentes.,1,1
" En complément de ce que le ministre a dit, en Espagne, nous avons 1300 radars.",1,1
 C’est qu’il n’y a pas de politique publique de conciliation en Espagne.,1,1
" Tiene unas cifras de contagio, unas cifras de incidencia que ya nos han situado como país a la cola de todo el mundo desarrollado, según todos los indicadores de la Johns Hopkins, de Oxford de Cambridge, de Lancet.",1,1
" Lógicamente no sé muy bien qué ha pasado, pero sí que es muy extraño.",0,0
 Personne de mieux qu’elle pour déplacer ses compatriotes dans la situation.,0,0
 Borja Mikkel est très préoccupée par Saint-Sébastien.,0,0
" Nous avons toujours suivi les recommandations que nous ont faites les autorités sanitaires espagnoles, les scientifiques en Espagne et les autorités sanitaires européennes et internationales.",1,1
" Nous demandons donc et prolongeons temporairement, nous élargissons territorialement le Plan spécial de sécurité du champ de Gibraltar avec trois objectifs principaux.",0,0
 Nous devons insister sur la responsabilité et la responsabilité de l’individu de chacun d’entre nous.,0,0
" Au cours de ces mois, nous avons mis comme je l’ai dit avant 16 milliards d’euros.",1,1
 So far all the outbreaks that have had the 158 active and those that have been in place since the beginning of the pandemic have been controlled with the measures that can be implemented and are being implemented by the autonomous communities.,1,1
". Je suis dans un parti politique, mais personne ne me dit comment je dois penser et comment je dois penser, comment je dois m’exprimer et je dis ce que je pense et si je ne partirais pas",0,0
" Il y a plusieurs centaines de milliers de personnes qui sont mutualistes et dans la Junte d’Andalousie et dans le Gouvernement de la Communauté de Madrid, ces mutualistes ont été aidés à payer plusieurs quotas du régime des travailleurs indépendants spéciaux dans lesquels ils se trouvent.",1,1
 That's the action plan set by President Married.,0,0
" Nous, Espagnols, avons accès à ce vaccin, mais nous sommes évidemment préoccupés par ces mouvements où il est déjà à l’échelle internationale.",0,0
 Chaque Espagnol coûte 2000 euros par an à l’évasion fiscale des grandes entreprises qui choisissent de ne pas taxer ici.,1,1
 They go to the European single market 60%,1,1
" Solo faltaba aquí nadie se pide que sea, que seamos todos de pensamiento único, todos pensando exactamente igual.",0,0
 Desde el Partido Popular siempre hemos tenido pleno respeto a las decisiones judiciales y por tanto los procedimientos que allá veremos hasta dónde van.,0,0
 Solamente existirá riesgo cero cuando tengamos la vacuna y por tanto tengamos el remedio.,0,0
 6 percent.,1,1
 Yo nací en el año 78.,0,0
" Alors, qu’est-ce qu’une évaluation sur cette question et lui demander s’il pense qu’il devrait faire l’objet d’une enquête.",0,0
 Por tanto nosotros hoy mismo hemos registrado esa propuesta de bajada del IVA en el sector turístico.,1,1
 De principio a fin.,0,0
 La France l’a fait et l’Italie l’a fait en Allemagne.,1,1
" Maintenant, tous les pays, en raison des ravages du coronavirus sont la baisse des impôts soit momentanément, ou des secteurs plus endommagés",1,1
 Creo que la verdadera igualdad es tratar como desigual lo que es desigual.,0,0
 Several European and non-EU countries say their leaders that governments are imposing on us because they do not have the information to assess the risk.,1,1
" Le Royaume-Uni, comme vous le savez, depuis le 6 juin, a également supprimé les quarantaines et cela nous ouvre une fenêtre d’opportunité pour commencer à retrouver la connectivité.",1,1
" He has, of course, America.",1,0
 Además ni siquiera han cumplido la cuarta parte de la pena.,1,1
 No parece que nuevamente entramos en la improvisación por parte del Gobierno.,0,0
 La même question juridique qu’il a soulevée quant à savoir si la question du directeur de Pablo Iglesias était une question de gouvernement ou une question purement personnelle.,0,0
